Pais;Poblacion;Independencia;Capital
Antigua y Barbuda;95581;1981;Saint John's
Argentina República Argentina;45030748;1816;Buenos Aires
Bahamas Mancomunidad de las Bahamas;328316;1973;Nasáu
Barbados;292495;1966;Bridgetown
Belice;356858;1981;Belmopán
Bolivia Estado Plurinacional de Bolivia;11969649;1825;Sucre[65]​
Brasil República Federativa de Brasil;211823665;1822;Brasilia
Canadá;37411590;1867;Ottawa
Chile República de Chile;18650114;1818;Santiago
Colombia República de Colombia;50220856;1810;Bogotá
Costa Rica República de Costa Rica;6172543;1838;San José
Cuba República de Cuba;11179995;1902;La Habana
Dominica Mancomunidad de Dominica;74757;1978;Roseau
Ecuador República del Ecuador;17080778;1830;Quito
El Salvador República de El Salvador;6356670;1841;San Salvador
Estados Unidos Estados Unidos de América;329995528;1776;Washington D. C.
Granada;111229;1974;Saint George
Guatemala República de Guatemala;15289958;1840;Ciudad de Guatemala
Guyana República Cooperativa de Guyana;1035909;1966;Georgetown
HaitíRepública de Haití;11485800;1804;Puerto Príncipe
Honduras República de Honduras;8893259;1838;Tegucigalpa
Jamaica;3070340;1962;Kingston
México Estados Unidos Mexicanos;128166749;1821;Ciudad de México
Nicaragua República de Nicaragua;7366798;1838;Managua
Panamá República de Panamá;5005246;1903;Ciudad de Panamá
Paraguay República del Paraguay;7162812;1811;Asunción
Perú República del Perú;33050325;1821;Lima
República Dominicana;10606865;1844;Santo Domingo
San Cristóbal y Nieves Federación de San Cristóbal y Nieves;53329;1983;Basseterre
San Vicente y las Granadinas;106350;1979;Kingstown
Santa Lucía;167464;1979;Castries
Surinam República de Surinam;595824;1975;Paramaribo
Trinidad y Tobago República de Trinidad y Tobago;1320479;1962;Puerto España
UruguayRepública Oriental del Uruguay;3286314;1828;Montevideo
Venezuela República Bolivariana de Venezuela;28500302;1811;Caracas
